ID,MM1,MM2,MM3,MM4,MV1,MV2,MV3,UM1,UM2,UM3,UM4,UM5
P707,6876,7351,6385,7509,7055,7264,6691,6814,6381,7086,7147,6754
P708,102,17,0,0,0,0,0,63,108,118,96,115
P709,616,510,520,519,529,531,372,441,463,429,515,408
P71,398,555,380,225,565,178,325,777,510,889,687,728
P710,17,37,43,28,12,15,0,12,49,9,58,55
P711,852,844,800,918,874,705,870,935,940,917,916,903
P712,2720,2843,2560,2760,2804,2707,2689,2787,2878,2764,2599,2795
P713,651,877,1033,619,1026,318,164,796,583,353,471,422
P714,3945,3883,4651,4050,4240,5330,2583,2999,3613,4016,2839,2734
P715,179,114,128,73,131,273,77,117,102,250,190,170
P716,608,775,511,720,793,535,666,803,698,614,678,801
P717,39,14,0,0,52,50,0,69,45,11,34,42
P718,209,138,119,151,153,162,129,141,204,189,162,123
P719,266,264,279,117,281,305,318,335,290,214,292,275
P72,587,994,642,1196,608,757,1498,794,678,569,520,508
P720,249,292,193,187,254,128,139,240,320,253,242,199
P721,826,755,565,609,725,580,668,466,512,549,500,470
P722,1412,1420,1392,1486,1348,1030,1495,1261,1336,1526,1234,1089
P723,412,327,379,261,374,439,488,364,397,446,459,426
P724,128,78,128,29,70,174,26,166,109,127,101,171
P725,111,101,98,21,68,161,18,217,105,138,80,173
P726,91,98,82,27,43,107,22,97,29,90,79,99
P727,50,71,61,27,5,38,56,10,20,37,44,24
P728,482,427,392,419,450,389,335,450,351,448,356,420
P729,478,427,392,419,450,389,335,447,351,448,356,419
P73,3142,3375,2725,2759,3152,3117,3390,2911,2878,2784,3036,3089
P730,342,445,605,204,519,393,813,598,641,648,287,381
P731,99,152,110,141,116,143,283,151,36,93,95,118
P732,239,301,228,140,251,151,322,207,211,232,280,171
P733,314,341,194,421,560,399,249,403,244,431,572,179
P734,1,4,0,0,4,0,0,0,1,1,1,0
P735,23,9,18,46,15,13,18,5,37,12,18,7
P736,416,408,470,470,194,334,445,344,317,318,368,351
P737,25,8,0,36,16,15,0,11,23,27,18,3
P739,128,141,12,31,76,27,4790,145,13,30,59,50
P74,5101,4713,5109,5171,4751,5231,4437,4454,4553,5173,4949,4678
P740,971,548,779,443,957,281,1081,365,489,448,784,373
P741,1111,683,1008,1001,831,1320,869,686,549,631,1124,513
P745,3257,3183,3128,3878,3504,3725,2919,2542,2627,3309,3627,3666
P746,1090,990,937,686,887,973,635,1049,966,1248,1049,1149
P747,88,88,150,41,84,54,72,132,95,72,73,54
P748,64,96,53,52,96,93,25,142,97,108,111,118
P749,9039,8620,9969,8187,8961,9045,7938,8905,9312,9095,8753,9693
P75,1335,1609,1754,1386,1540,1614,1697,1478,1614,1560,1408,1745
P750,510,552,466,48,556,573,439,316,441,452,256,296
P751,510,552,466,48,556,573,439,316,441,452,256,296
P752,510,552,466,48,556,573,439,316,441,452,256,296
P753,510,552,466,48,556,573,439,316,441,452,256,296
P754,640,802,680,709,606,696,604,551,595,547,743,661
P755,2729,2744,2689,2631,2946,2649,3082,2804,2629,2763,2649,2684
P756,3577,3747,3366,3915,3833,3467,4287,3259,3412,3183,3206,3319
P757,1243,1125,1345,1657,1252,1591,945,1055,1341,1524,1287,1211
P758,375,387,290,459,349,386,286,542,530,699,340,626
P759,2094,1814,1890,1661,1825,1702,2230,1745,1911,1925,1938,1899
P76,2844,2730,2773,2911,3016,2833,2649,3163,3131,3051,2855,2967
P760,372,216,266,365,209,158,370,487,561,642,557,336
P761,2908,2993,3261,2948,3331,2704,2717,3505,3489,3095,2843,3462
P762,3233,3302,3441,3938,3105,2584,3143,3320,3284,2949,3436,3229
P763,3036,2379,2398,2771,2606,2406,2617,2494,2458,2560,2749,2544
P764,58,187,127,73,46,127,255,52,235,105,98,15
P765,2515,2616,2442,2657,2519,2084,2101,2446,2392,2454,2206,2372
P766,51,125,78,160,136,248,220,59,15,107,59,12
P767,3137,2825,2928,3324,2924,2467,2813,2937,2871,2827,3096,2889
P768,3360,2443,3228,3528,3021,2702,2461,1783,2142,2609,2486,1917
P769,8562,8601,7969,7995,8905,8363,8440,8187,8599,8315,8386,8459
P77,1477,1523,1377,901,1297,1096,1143,1114,1183,1339,1052,1032
P770,5,33,35,50,42,9,0,40,13,28,4,32
P771,762,829,907,717,867,1211,721,1038,797,1016,941,1029
P772,1101,273,1317,135,51,23,1659,92,207,108,11,4
P773,83,77,88,0,76,190,0,0,23,47,71,43
P774,4420,4218,3775,3967,4052,4321,4317,4267,4239,4014,4250,3977
P775,86,115,12,0,44,25,170,104,49,88,28,145
P776,7487,7063,7091,6921,7423,7443,7016,7190,7112,7369,6804,7546
P777,555,432,584,137,604,579,369,626,326,621,599,649
P778,462,542,643,691,542,501,469,488,380,509,438,329
P779,1530,1604,1257,1469,1523,1494,1154,1514,1337,1361,1381,1256
P78,7936,8342,7362,8290,7753,7801,7684,7937,8171,7437,7624,8142
P780,1017,982,573,917,925,465,853,673,634,829,1079,533
P781,58,57,75,74,35,178,448,127,237,39,140,31
P782,5463,5711,5214,5891,5751,5568,5957,5899,6298,5788,5616,5791
P784,521,603,408,548,631,446,740,628,542,513,588,565
P785,2232,2145,1958,1752,2303,1909,2212,1784,1728,2070,2025,2072
P786,7936,8342,7362,8290,7753,7801,7684,7937,8171,7437,7624,8142
P787,0,13,0,0,27,0,0,12,23,0,28,0
P789,0,68,42,0,0,44,0,105,0,22,0,41
P79,157,191,159,315,169,53,95,108,121,86,104,119
P790,0,4,0,0,0,0,0,0,0,0,0,0
P791,0,6,0,0,11,0,0,11,22,0,11,0
P792,0,6,14,0,0,0,0,3,0,0,5,0
P793,0,7,0,0,7,0,0,0,5,22,3,11
P794,0,1606,1281,0,0,0,0,1467,1509,1464,1586,0
P795,0,1,8,0,0,0,0,0,4,0,0,0
P796,0,30,126,0,144,0,49,24,52,76,58,44
P797,0,17,0,0,16,20,0,4,11,0,15,23
P798,0,19,0,0,0,0,0,11,0,16,24,0
P799,0,20,0,0,36,0,0,16,30,0,29,0
P8,701,437,667,0,680,558,160,438,448,567,700,383
P80,395,481,410,399,369,352,673,439,463,499,463,419
P800,0,155,0,0,317,0,0,46,0,21,176,0
P801,0,54,41,0,33,34,0,84,37,16,0,94
P802,0,6,0,0,0,0,0,0,0,0,0,0
P803,0,15,0,0,19,0,49,0,0,0,0,0
P804,0,10,0,0,22,0,0,0,0,0,0,0
P805,0,4,0,0,0,0,0,0,0,0,0,6
P806,0,7,0,0,11,0,0,12,27,0,13,0
P807,0,2,0,0,0,0,0,3,2,4,10,0
P808,0,7,0,0,11,0,0,12,27,0,13,0
P809,0,0,0,0,0,0,0,0,135,0,0,24
P81,129,133,134,85,130,143,64,184,102,143,105,179
P811,0,0,0,0,14,0,0,0,0,0,0,4
P812,0,0,10,0,21,0,0,0,0,0,6,2
P813,0,0,0,0,0,0,0,0,0,0,0,2
P814,0,0,0,0,0,0,0,0,0,0,0,4
P815,0,0,0,0,0,0,0,0,0,0,0,3
P816,0,0,0,0,0,0,0,4,0,5,0,3
P817,0,0,0,0,0,0,0,0,0,0,3,2
P818,0,0,0,0,0,0,0,0,0,0,0,2
P819,0,0,0,0,10,0,0,0,6,0,20,3
P82,672,556,295,339,885,543,604,498,492,392,580,515
P820,0,0,0,0,7,0,0,10,0,19,0,13
P821,0,0,0,0,43,0,0,0,0,0,0,21
P822,0,0,0,0,0,0,326,6,0,7,5,0
P823,0,0,0,0,5,0,6,13,0,0,16,0
P828,0,0,0,14,9,0,0,0,0,0,18,0
P829,0,0,10,0,15,5,0,0,0,0,0,0
P83,79,86,89,75,60,35,36,74,23,24,61,41
P831,0,0,0,0,0,0,0,10,0,0,0,0
P832,0,0,0,0,0,0,0,44,0,0,0,0
P833,0,0,0,0,0,0,0,179,0,0,0,0
P835,0,0,0,0,0,0,0,228,95,0,0,0
P836,0,0,0,0,0,0,0,13,0,0,0,0
P84,2123,2559,1985,2580,2110,2116,1542,2145,1816,1755,2005,1757
P841,0,0,0,0,0,0,0,0,27,0,0,0
P842,0,0,0,0,0,0,0,0,28,0,0,0
P844,0,0,0,0,0,0,0,0,0,4,0,0
P845,0,0,0,0,0,0,0,0,0,0,28,0
P847,0,0,0,0,0,0,0,0,0,0,144,0
P85,265,172,268,178,240,232,187,222,204,244,200,256
P87,24,0,0,0,24,0,0,0,0,0,0,16
P88,1735,1911,1592,1938,1838,1823,1861,1838,1960,1875,1726,1996
P89,201,210,205,0,266,465,139,706,964,781,397,790
P9,762,683,692,574,645,587,513,638,646,555,770,557
P90,173,113,0,0,0,0,0,100,111,236,102,237
P91,40,0,0,0,31,0,0,0,0,39,40,14
P92,430,203,426,411,162,173,216,283,386,262,261,376
P93,2011,2303,2332,2053,2202,2367,2402,2147,2289,2211,2072,2441
P94,236,230,312,108,253,319,185,240,342,275,165,378
P95,425,541,699,806,545,512,492,464,349,497,415,286
P96,493,615,266,471,500,344,498,545,580,410,563,541
P97,5440,5125,4845,5088,5175,4884,5105,5421,5478,5480,4957,5817
P98,5971,5801,5337,5912,5737,5280,5460,5992,6042,6103,5707,6295
P99,33,34,52,0,11,0,69,40,77,57,31,6
