ID,MM1,MM2,MM3,MM4,MV1,MV2,MV3,UM1,UM2,UM3,UM4,UM5
P393,2819,2698,2249,2910,2645,1515,2615,2615,2201,2724,2604,2733
P395,15,32,0,51,28,36,34,43,13,27,46,16
P396,6,1,0,10,10,17,10,1,3,7,6,2
P397,2157,1919,2296,3156,2124,2494,2966,2363,2703,2473,1895,2805
P398,12,0,0,0,6,0,0,0,7,8,9,0
P399,313,372,214,197,316,354,186,330,394,330,292,287
P4,1002,1013,885,1001,929,847,745,912,971,813,1027,873
P40,6920,7096,7255,6746,7078,6900,6718,6791,7047,6793,6771,6978
P400,2294,2640,2216,1930,2271,2596,2064,2354,2338,2466,2116,2268
P401,685,605,819,566,486,679,694,431,543,617,584,726
P402,1931,2283,1860,1504,1884,2290,1710,1986,1948,2113,1743,1886
P403,291,18,171,89,13,215,123,163,291,24,27,177
P404,719,867,635,818,821,909,570,654,854,758,668,687
P405,98,1180,1146,792,1040,1454,1498,1004,1094,1085,1237,848
P406,64,25,94,191,37,46,69,103,14,24,118,30
P407,14,15,15,53,24,8,23,12,17,11,20,16
P409,650,1174,538,407,715,431,463,650,720,600,792,584
P41,8757,8474,9842,8107,8787,8689,8071,8805,9203,8924,8715,9476
P410,12,26,48,21,19,0,0,13,22,0,20,5
P411,390,65,569,345,257,349,419,217,279,325,329,418
P412,239,207,119,129,178,97,217,293,177,276,243,197
P413,7,7,28,30,4,11,24,19,4,6,27,5
P414,379,436,520,376,415,315,364,312,252,405,327,285
P415,448,338,334,381,392,271,259,317,441,390,368,373
P416,40,36,117,121,22,56,106,90,23,32,119,31
P417,3,4,0,13,10,0,0,0,4,17,6,8
P418,2100,1511,2109,526,1688,3142,1343,2260,2257,1968,1587,2204
P419,1759,1714,1736,1459,1812,1786,1332,1983,1764,2247,1821,2296
P42,1934,1937,2150,1522,1846,2062,2093,2685,2937,2743,2319,3011
P420,217,160,50,28,132,143,78,322,118,171,182,160
P421,50,59,10,39,55,51,14,13,40,51,13,16
P422,89,81,0,0,121,39,0,60,28,43,46,71
P423,5442,5463,4912,5788,5101,4386,5476,5249,4625,5559,5149,5016
P424,3699,3690,3412,3182,3605,3298,3570,3514,3512,3559,3582,3559
P425,2,0,0,0,0,0,0,4,0,9,0,0
P426,972,808,399,854,985,1267,1270,947,677,1211,624,1352
P427,92,127,145,154,100,226,113,116,139,187,112,76
P428,117,182,185,194,133,348,149,151,183,286,142,94
P429,126,424,32,107,216,0,238,16,0,122,109,4
P43,509,606,381,370,480,616,460,554,612,566,564,452
P430,2657,2385,2345,1817,2142,1745,2003,2615,2803,2846,2399,2590
P431,1066,811,552,2988,943,315,2830,1302,1469,1490,1602,1221
P432,452,305,1406,879,236,235,983,1474,1369,1754,666,1409
P433,1680,1340,1015,1572,1393,621,1658,1752,1949,1997,1936,1689
P434,103,102,85,193,85,49,57,37,60,61,58,3972
P435,10,28,7,27,20,42,14,12,13,30,12,5
P436,592,406,756,0,329,275,0,1466,1459,1736,863,1397
P437,1221,1012,1340,2429,1120,1607,2331,1328,1661,1469,1018,1728
P438,3289,3141,2771,2999,3644,3006,2994,3346,3251,3228,3062,3489
P439,360,437,269,264,343,448,336,397,449,408,402,318
P44,100,25,165,56,36,166,98,338,316,419,141,381
P440,257,55,9683,233,349,403,10737,10230,260,110,10394,45
P441,3953,4005,3854,3841,3904,4272,3956,3879,3717,3743,3869,3972
P442,1163,931,1225,316,1251,1214,806,1286,719,1283,1233,1333
P443,1257,1352,1726,1743,1405,1755,1197,1460,1041,1337,1362,1489
P444,50,59,10,39,55,51,14,13,40,51,13,16
P445,1393,1260,1209,1137,1570,1220,1040,1694,1960,1377,1327,1706
P446,574,804,1301,710,1024,1040,982,717,828,676,806,627
P447,294,447,666,355,630,784,766,428,417,261,358,317
P448,7,0,0,0,22,88,14,19,31,7,4,12
P449,14,0,0,0,10,36,50,0,34,23,11,29
P45,51,12,246,301,17,362,233,216,198,266,78,243
P450,11,3615,3927,2626,2,3882,4237,3274,3561,3329,4065,3582
P451,18,16,15,52,25,11,17,24,4,16,29,29
P452,19,19,17,56,26,12,14,27,5,16,31,28
P453,9560,9577,9377,10842,9950,9443,9647,9746,10236,9915,9309,10201
P454,24024,22980,22195,23493,23962,24241,22961,23829,23702,23936,23844,23931
P455,14,138,365,58,11,253,185,330,310,14,66,9
P456,30,23,0,0,22,0,0,11,12,0,9,8
P457,92,73,80,35,56,77,78,75,124,113,62,60
P458,5238,5009,4718,4999,5118,5551,4747,5367,4913,5138,5145,5649
P459,1904,1025,1801,1718,1686,1888,2652,1315,1733,1852,1581,1909
P46,252,231,240,250,237,187,307,277,305,270,305,330
P460,1491,1319,1284,1267,1542,1075,1288,915,689,979,1405,675
P461,72,148,86,305,193,56,52,110,171,100,96,123
P462,9446,9601,8781,10083,9669,8009,9897,9530,9677,9560,10233,9064
P463,7,18,9,0,6,35,0,9,9,28,5,40
P464,176,399,484,76,204,461,805,490,686,317,324,599
P465,320,277,177,146,318,323,158,302,300,303,352,279
P466,19,26,10,0,9,13,0,19,19,9,87,10
P467,1276,1287,1179,1087,1170,1181,1201,1463,1291,1442,1252,1484
P468,591,374,401,447,846,292,372,445,227,49,352,580
P469,158,164,121,89,137,159,128,137,138,157,114,170
P47,670,643,824,586,661,635,582,738,740,781,647,712
P470,806,761,659,566,824,719,735,777,830,792,771,793
P471,7,13,0,0,19,52,0,10,4,3,29,7
P472,1620,1050,1871,1611,1582,1735,2144,1123,1177,1804,2061,882
P473,5,11,0,20,0,0,30,5,0,0,0,0
P474,87,122,73,90,83,67,19,95,30,16,65,64
P475,32,44,2122,56,24,1993,1471,1754,11,52,19,102
P476,1011,988,1207,1045,1242,1013,1097,1103,1122,1074,1340,1175
P477,78,85,58,49,150,105,150,138,223,119,159,175
P478,1140,1297,1232,1632,1387,1795,1419,1579,1522,1603,1440,1806
P479,57,28,2625,2882,18,59,3969,2943,60,146,37,19
P48,388,369,264,445,320,313,319,303,346,303,315,362
P480,153,88,91,207,96,109,104,159,64,109,125,82
P481,2157,1904,2309,1779,2294,2056,2312,2067,1713,1913,2010,1930
P483,1064,989,820,964,900,1001,548,695,402,894,769,830
P484,387,410,250,777,469,216,235,445,453,402,402,440
P485,1445,1319,1111,1224,1176,1238,768,959,591,1202,1052,1108
P486,2074,1699,1784,1850,1756,1919,1385,1349,956,1769,1756,1163
P487,6,260,470,461,7,411,140,562,206,8,12,7
P488,426,379,441,603,377,699,309,696,376,516,503,581
P489,29,690,931,668,36,975,461,969,591,37,55,35
P49,363,171,360,349,135,145,182,237,326,220,220,317
P490,548,710,673,285,834,724,627,899,812,931,708,960
P491,3264,2990,3209,3321,3131,2961,2919,3124,3363,3309,3175,3412
P492,80,114,124,311,140,158,243,178,66,60,203,53
P493,35,14,17,25,67,18,0,14,17,12,71,20
P494,518,646,431,591,514,350,344,435,430,386,577,355
P495,980,827,1237,933,947,817,948,698,691,750,641,644
P496,223,156,164,95,245,104,136,146,226,98,225,157
P497,1706,1684,1136,2257,1708,1418,1437,1817,1847,1731,1610,1706
P498,45,35,0,0,58,19,0,30,0,21,30,35
P499,13,26,8,41,17,25,0,7,14,16,11,6
P5,111,105,32,0,96,173,93,82,108,98,74,126
P50,316,143,322,296,112,127,150,202,295,185,186,277
P500,70,44,51,26,83,28,48,44,77,28,81,51
P501,617,597,475,475,575,560,295,463,532,370,478,404
P502,588,494,330,443,539,572,373,382,482,310,482,379
